AL032014,BERTHA,47,20140807,1800,,EX,46.0N,49.5W,40,1000,0,140,60,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140808,0000,,EX,47.4N,46.6W,35,1001,0,140,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140808,0600,,EX,47.9N,43.0W,35,1001,0,140,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140808,1200,,EX,47.5N,39.4W,35,1002,0,140,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140808,1800,,EX,46.9N,34.9W,35,1002,0,140,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140809,0000,,EX,47.0N,29.0W,35,1003,0,140,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140809,0600,,EX,47.1N,22.0W,35,1003,0,140,0,0,0,0,0,0,0,0,0,0,-999
AL032014,BERTHA,47,20140809,1200,,EX,47.5N,15.0W,35,1003,0,140,0,0,0,0,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140823,1800,,TD,21.5N,72.2W,30,1005,0,0,0,0,0,0,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140824,0000,,TD,22.0N,72.5W,30,1004,0,0,0,0,0,0,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140824,0600,,TS,22.6N,72.9W,35,1002,60,60,0,0,0,0,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140824,1200,,TS,23.3N,73.0W,40,1001,60,70,0,0,0,0,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140824,1800,,TS,24.0N,73.0W,45,1001,60,70,0,0,0,0,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140825,0000,,TS,24.2N,73.0W,45,998,60,80,0,0,0,0,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140825,0600,,TS,24.4N,72.9W,45,996,60,120,0,0,0,0,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140825,1200,,TS,24.7N,72.7W,50,993,60,120,0,0,0,80,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140825,1800,,TS,24.9N,72.4W,50,992,60,180,0,0,0,80,0,0,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140826,0000,,HU,25.1N,72.1W,65,989,60,180,60,30,0,80,0,0,0,40,0,0,-999
AL042014,CRISTOBAL,39,20140826,0600,,HU,25.6N,72.0W,65,989,80,180,60,30,50,90,0,0,25,40,0,0,-999
AL042014,CRISTOBAL,39,20140826,1200,,HU,26.7N,71.8W,65,988,80,180,60,30,50,90,0,0,25,40,0,0,-999
AL042014,CRISTOBAL,39,20140826,1800,,HU,28.1N,71.4W,65,987,180,210,60,60,50,120,0,0,25,50,0,0,-999
AL042014,CRISTOBAL,39,20140827,0000,,HU,29.5N,71.5W,70,983,180,210,60,100,90,120,20,20,50,50,10,0,-999
AL042014,CRISTOBAL,39,20140827,0600,,HU,30.6N,72.0W,70,983,180,180,60,100,90,100,20,20,50,50,10,0,-999
AL042014,CRISTOBAL,39,20140827,1200,,HU,31.6N,72.2W,70,983,180,180,60,100,90,100,20,20,50,50,10,0,-999
AL042014,CRISTOBAL,39,20140827,1800,,HU,32.3N,71.8W,65,984,180,180,60,70,90,100,30,30,40,50,20,20,-999
AL042014,CRISTOBAL,39,20140828,0000,,HU,33.5N,70.7W,65,984,180,180,60,70,90,100,30,30,40,50,20,20,-999
AL042014,CRISTOBAL,39,20140828,0600,,HU,34.8N,69.0W,65,982,180,180,60,70,90,100,30,30,40,50,20,20,-999
AL042014,CRISTOBAL,39,20140828,1200,,HU,36.3N,67.1W,70,979,180,180,60,70,90,100,30,30,40,50,20,20,-999
AL042014,CRISTOBAL,39,20140828,1800,,HU,37.5N,63.6W,75,971,180,220,110,60,90,100,40,30,30,50,20,20,-999
AL042014,CRISTOBAL,39,20140829,0000,,HU,39.1N,58.8W,75,965,180,220,220,60,90,100,80,40,30,60,20,20,-999
AL042014,CRISTOBAL,39,20140829,0600,,HU,41.2N,53.9W,70,967,190,240,220,70,90,120,80,40,40,60,30,0,-999
AL042014,CRISTOBAL,39,20140829,1200,,EX,44.2N,49.0W,65,970,200,270,220,180,100,140,100,70,50,70,40,0,-999
AL042014,CRISTOBAL,39,20140829,1800,,EX,46.7N,45.9W,65,972,200,270,240,200,100,140,100,80,50,70,40,0,-999
AL042014,CRISTOBAL,39,20140830,0000,,EX,48.6N,42.8W,65,974,200,270,270,200,100,140,110,100,50,70,40,0,-999
AL042014,CRISTOBAL,39,20140830,0600,,EX,49.9N,39.5W,65,974,200,270,270,200,100,140,110,100,50,70,40,0,-999
AL042014,CRISTOBAL,39,20140830,1200,,EX,51.3N,36.2W,60,971,200,300,360,200,100,140,100,80,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140830,1800,,EX,54.0N,32.0W,60,971,240,300,360,200,100,140,100,80,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140831,0000,,EX,58.0N,28.9W,60,971,240,300,360,200,100,140,100,80,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140831,0600,,EX,61.0N,27.0W,60,963,200,270,240,200,100,140,100,80,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140831,1200,,EX,62.0N,26.0W,60,964,200,270,240,200,100,140,100,80,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140831,1800,,EX,63.0N,24.5W,55,968,200,270,240,200,100,140,100,80,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140901,0000,,EX,64.0N,22.0W,50,974,200,270,240,200,100,140,100,80,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140901,0600,,EX,65.0N,19.5W,50,978,200,270,240,200,100,140,100,80,0,0,0,0,-999
AL042014,CRISTOBAL,39,20140901,1200,,EX,66.0N,17.0W,45,980,0,200,200,200,0,0,0,0,0,0,0,0,-999
